age,wc,education,marital status,race,gender,hours per week,IncomeClass
38,3,2,0,4,1,40,0
28,3,0,3,2,0,40,0
37,3,3,3,4,0,40,0
31,3,3,1,4,0,50,1
42,3,0,3,4,1,40,1
37,3,6,3,2,1,80,1
23,3,0,1,4,0,30,0
32,3,2,1,4,1,40,0
40,3,1,3,4,1,60,1
59,3,2,0,4,0,40,0
56,1,0,3,4,1,40,1
19,3,2,1,4,1,40,0
39,3,2,0,4,1,80,0
49,3,2,3,4,1,40,0
20,3,6,1,2,1,44,0
45,3,0,0,4,1,40,0
30,0,6,3,4,1,40,0
21,3,6,1,4,1,40,0
19,3,2,3,4,0,25,0
31,3,6,3,4,1,38,1
24,3,0,3,4,1,50,0
25,3,2,1,4,1,35,0
57,0,0,3,2,1,40,1
53,3,2,3,4,1,38,0
44,3,3,0,4,0,40,0
25,3,6,3,3,0,40,0
18,3,2,1,4,0,30,0
47,3,5,3,4,0,60,1
50,0,0,0,4,1,55,1
43,3,6,3,4,1,40,1
41,3,2,3,4,1,48,0
30,3,2,3,4,1,40,0
30,3,0,3,4,1,40,0
48,3,2,3,4,1,40,0
42,3,1,3,4,1,45,1
29,3,6,0,4,1,58,0
36,3,2,3,4,1,40,0
28,3,6,0,4,0,40,0
53,3,2,3,4,0,40,1
19,3,6,1,4,1,32,0
23,3,6,1,4,1,40,0
79,3,6,3,4,1,20,0
27,3,2,1,4,1,40,0
18,3,2,1,4,1,30,0
52,3,0,3,4,1,40,0
46,3,2,3,4,0,40,0
59,3,2,3,4,1,48,0
44,3,2,0,4,0,40,1
53,3,2,0,4,0,35,0
49,1,2,3,4,1,40,1
33,3,3,3,4,1,50,0
43,0,1,1,4,0,50,1
37,3,6,0,4,0,40,0
28,3,6,0,2,0,25,0
30,3,2,3,1,0,35,0
34,1,0,3,4,1,40,1
29,1,6,1,4,1,50,0
37,3,6,3,4,1,48,1
32,0,2,1,2,1,40,0
76,3,3,3,4,1,40,1
44,3,0,3,4,1,60,1
20,3,6,1,4,0,40,0
29,3,2,1,4,1,40,0
31,1,2,1,4,0,40,0
42,3,2,3,4,1,40,0
24,3,0,1,4,1,40,0
38,3,5,3,4,1,40,1
28,3,6,3,4,0,25,0
36,3,2,1,4,0,40,0
55,3,6,3,4,1,56,0
22,3,2,1,4,1,41,0
21,3,6,1,4,0,40,0
40,3,0,3,4,1,60,0
30,3,0,1,2,1,40,0
19,3,6,1,2,1,35,0
47,3,0,3,4,0,40,1
20,3,6,1,4,0,28,0
39,3,6,0,4,1,40,0
24,3,2,1,4,0,40,0
37,3,0,3,4,1,50,0
38,0,3,3,4,1,40,1
20,3,6,1,4,1,20,0
49,3,6,3,1,1,40,1
27,3,6,1,4,0,40,0
19,3,6,1,4,1,30,0
70,3,6,1,4,1,40,0
31,3,2,1,2,0,30,0
22,3,6,3,4,1,24,0
36,3,2,2,4,0,24,0
47,1,6,0,4,0,38,0
34,3,2,1,4,0,40,0
33,3,0,1,1,0,40,0
21,3,2,1,4,1,35,0
48,3,2,3,4,1,46,0
23,3,0,1,4,1,40,0
29,3,2,0,4,1,60,0
25,3,2,1,4,0,40,0
28,3,2,1,1,0,40,0
36,3,6,0,4,0,40,0
27,3,2,1,4,1,40,0
51,3,6,3,4,1,40,1
27,3,0,1,4,1,50,0
27,3,2,3,4,0,25,0
21,3,2,1,2,1,40,0
34,3,2,1,2,1,40,0
18,3,2,1,4,1,12,0
33,3,0,3,4,1,65,0
44,1,6,3,2,1,38,1
43,3,6,0,4,0,40,0
30,3,6,1,2,1,45,0
37,0,6,3,4,1,42,1
34,3,2,3,2,1,40,0
31,3,3,3,4,0,50,0
38,3,6,0,2,0,28,0
24,3,6,3,4,1,40,0
41,1,0,3,2,1,40,0
47,3,6,3,4,1,45,0
41,0,0,3,4,1,24,0
36,3,6,0,4,1,40,0
40,0,3,1,4,0,55,1
35,3,3,3,4,1,40,1
26,3,3,1,4,0,40,0
51,3,0,3,4,1,50,1
42,1,6,1,4,0,40,0
36,3,0,3,2,1,36,1
35,3,2,0,4,1,60,0
44,1,2,3,2,1,40,0
37,3,2,3,4,1,40,1
35,3,6,1,0,0,40,0
60,3,2,3,1,1,40,0
37,3,0,1,2,1,60,1
38,3,0,3,4,1,50,0
45,3,0,3,4,1,55,0
31,3,6,3,4,1,40,0
90,3,2,1,2,1,40,0
54,3,2,3,2,1,20,0
53,1,4,1,4,0,35,0
18,3,2,1,4,0,40,0
65,3,2,0,4,0,40,0
41,3,2,0,2,0,38,0
25,3,6,1,4,1,42,0
